[2025-04-28 22:54:55] [SOK] Beste aapning pa 57.9 grader, avstand 551.8 cm.
[2025-04-28 22:54:55] [KORRIGERING] Avviker fra mål med -1e+02 grader, korrigerer med omega=-90.0.
[2025-04-28 22:54:55] [SOK] Beste aapning pa 57.9 grader, avstand 551.8 cm.
[2025-04-28 22:54:55] [KORRIGERING] Avviker fra mål med -1e+02 grader, korrigerer med omega=-90.0.
[2025-04-28 22:54:55] [SOK] Beste aapning pa 57.9 grader, avstand 551.8 cm.
[2025-04-28 22:54:55] [KORRIGERING] Avviker fra mål med -1e+02 grader, korrigerer med omega=-90.0.
[2025-04-28 22:54:55] [SOK] Beste aapning pa 48.1 grader, avstand 1109.0 cm.
[2025-04-28 22:54:55] [KORRIGERING] Avviker fra mål med -1e+02 grader, korrigerer med omega=-90.0.
[2025-04-28 22:54:55] [SOK] Beste aapning pa 48.1 grader, avstand 1109.0 cm.
[2025-04-28 22:54:55] [KORRIGERING] Avviker fra mål med -1e+02 grader, korrigerer med omega=-90.0.
[2025-04-28 22:54:55] [SOK] Beste aapning pa 48.1 grader, avstand 1109.0 cm.
[2025-04-28 22:54:55] [KORRIGERING] Avviker fra mål med -1e+02 grader, korrigerer med omega=-90.0.
[2025-04-28 22:54:55] [SOK] Beste aapning pa 57.5 grader, avstand 1443.2 cm.
[2025-04-28 22:54:55] [KORRIGERING] Avviker fra mål med -1e+02 grader, korrigerer med omega=-90.0.
[2025-04-28 22:54:55] [SOK] Beste aapning pa 57.5 grader, avstand 1443.2 cm.
[2025-04-28 22:54:55] [KORRIGERING] Avviker fra mål med -1e+02 grader, korrigerer med omega=-90.0.
[2025-04-28 22:54:55] [SOK] Beste aapning pa 57.5 grader, avstand 1443.2 cm.
[2025-04-28 22:54:55] [KORRIGERING] Avviker fra mål med -1e+02 grader, korrigerer med omega=-90.0.
[2025-04-28 22:54:55] [SOK] Beste aapning pa 57.5 grader, avstand 1443.2 cm.
[2025-04-28 22:54:55] [KORRIGERING] Avviker fra mål med -1e+02 grader, korrigerer med omega=-90.0.
[2025-04-28 22:54:55] [SOK] Beste aapning pa 40.3 grader, avstand 1726.2 cm.
[2025-04-28 22:54:55] [KORRIGERING] Avviker fra mål med -2e+02 grader, korrigerer med omega=-90.0.
[2025-04-28 22:54:55] [SOK] Beste aapning pa 40.3 grader, avstand 1726.2 cm.
[2025-04-28 22:54:55] [KORRIGERING] Avviker fra mål med -2e+02 grader, korrigerer med omega=-90.0.
[2025-04-28 22:54:55] [SOK] Beste aapning pa 40.3 grader, avstand 1726.2 cm.
[2025-04-28 22:54:55] [KORRIGERING] Avviker fra mål med -2e+02 grader, korrigerer med omega=-90.0.
[2025-04-28 22:54:55] [SOK] Beste aapning pa 40.3 grader, avstand 1726.2 cm.
[2025-04-28 22:54:55] [KORRIGERING] Avviker fra mål med -2e+02 grader, korrigerer med omega=-90.0.
[2025-04-28 22:54:55] [SOK] Beste aapning pa 31.1 grader, avstand 1426.0 cm.
[2025-04-28 22:54:55] [KORRIGERING] Avviker fra mål med 2e+02 grader, korrigerer med omega=90.0.
[2025-04-28 22:54:55] [SOK] Beste aapning pa 31.1 grader, avstand 1426.0 cm.
[2025-04-28 22:54:55] [KORRIGERING] Avviker fra mål med 2e+02 grader, korrigerer med omega=90.0.
[2025-04-28 22:54:55] [SOK] Beste aapning pa 31.1 grader, avstand 1426.0 cm.
[2025-04-28 22:54:55] [KORRIGERING] Avviker fra mål med 2e+02 grader, korrigerer med omega=90.0.
[2025-04-28 22:54:55] [SOK] Beste aapning pa 31.1 grader, avstand 1426.0 cm.
[2025-04-28 22:54:55] [KORRIGERING] Avviker fra mål med 2e+02 grader, korrigerer med omega=90.0.
[2025-04-28 22:54:55] [SOK] Beste aapning pa 59.7 grader, avstand 1904.2 cm.
[2025-04-28 22:54:55] [KORRIGERING] Avviker fra mål med -2e+02 grader, korrigerer med omega=-90.0.
[2025-04-28 22:54:55] [SOK] Beste aapning pa 59.7 grader, avstand 1904.2 cm.
[2025-04-28 22:54:55] [KORRIGERING] Avviker fra mål med -2e+02 grader, korrigerer med omega=-90.0.
[2025-04-28 22:54:55] [SOK] Beste aapning pa 59.7 grader, avstand 1904.2 cm.
[2025-04-28 22:54:55] [KORRIGERING] Avviker fra mål med -2e+02 grader, korrigerer med omega=-90.0.
[2025-04-28 22:54:55] [SOK] Beste aapning pa 59.7 grader, avstand 1904.2 cm.
[2025-04-28 22:54:55] [KORRIGERING] Avviker fra mål med -1e+02 grader, korrigerer med omega=-90.0.
[2025-04-28 22:54:55] [SOK] Beste aapning pa 59.5 grader, avstand 1902.5 cm.
[2025-04-28 22:54:55] [KORRIGERING] Avviker fra mål med -1e+02 grader, korrigerer med omega=-90.0.
[2025-04-28 22:54:56] [SOK] Beste aapning pa 59.5 grader, avstand 1902.5 cm.
[2025-04-28 22:54:56] [KORRIGERING] Avviker fra mål med -1e+02 grader, korrigerer med omega=-90.0.
[2025-04-28 22:54:56] [SOK] Beste aapning pa 59.5 grader, avstand 1902.5 cm.
[2025-04-28 22:54:56] [KORRIGERING] Avviker fra mål med -1e+02 grader, korrigerer med omega=-90.0.
[2025-04-28 22:54:56] [SOK] Beste aapning pa 59.5 grader, avstand 1902.5 cm.
[2025-04-28 22:54:56] [KORRIGERING] Avviker fra mål med -2e+02 grader, korrigerer med omega=-90.0.
[2025-04-28 22:54:56] [SOK] Beste aapning pa 58.5 grader, avstand 1886.8 cm.
[2025-04-28 22:54:56] [KORRIGERING] Avviker fra mål med -2e+02 grader, korrigerer med omega=-90.0.
[2025-04-28 22:54:56] [SOK] Beste aapning pa 58.5 grader, avstand 1886.8 cm.
[2025-04-28 22:54:56] [KORRIGERING] Avviker fra mål med -2e+02 grader, korrigerer med omega=-90.0.
[2025-04-28 22:54:56] [SOK] Beste aapning pa 58.5 grader, avstand 1886.8 cm.
[2025-04-28 22:54:56] [KORRIGERING] Avviker fra mål med -2e+02 grader, korrigerer med omega=-90.0.
[2025-04-28 22:54:56] [SOK] Beste aapning pa 58.5 grader, avstand 1886.8 cm.
[2025-04-28 22:54:56] [KORRIGERING] Avviker fra mål med -2e+02 grader, korrigerer med omega=-90.0.
[2025-04-28 22:54:56] [SOK] Beste aapning pa 58.9 grader, avstand 1895.0 cm.
[2025-04-28 22:54:56] [KORRIGERING] Avviker fra mål med -2e+02 grader, korrigerer med omega=-90.0.
[2025-04-28 22:54:56] [SOK] Beste aapning pa 58.9 grader, avstand 1895.0 cm.
[2025-04-28 22:54:56] [KORRIGERING] Avviker fra mål med 2e+02 grader, korrigerer med omega=90.0.
[2025-04-28 22:54:56] [SOK] Beste aapning pa 58.9 grader, avstand 1895.0 cm.
[2025-04-28 22:54:56] [KORRIGERING] Avviker fra mål med 2e+02 grader, korrigerer med omega=90.0.
[2025-04-28 22:54:56] [SOK] Beste aapning pa 56.5 grader, avstand 2055.8 cm.
[2025-04-28 22:54:56] [KORRIGERING] Avviker fra mål med 2e+02 grader, korrigerer med omega=90.0.
[2025-04-28 22:54:56] [SOK] Beste aapning pa 56.5 grader, avstand 2055.8 cm.
[2025-04-28 22:54:56] [KORRIGERING] Avviker fra mål med 2e+02 grader, korrigerer med omega=90.0.
[2025-04-28 22:54:56] [SOK] Beste aapning pa 56.5 grader, avstand 2055.8 cm.
[2025-04-28 22:54:56] [KORRIGERING] Avviker fra mål med 2e+02 grader, korrigerer med omega=90.0.
[2025-04-28 22:54:56] [SOK] Beste aapning pa 56.5 grader, avstand 2055.8 cm.
[2025-04-28 22:54:56] [KORRIGERING] Avviker fra mål med 2e+02 grader, korrigerer med omega=90.0.
[2025-04-28 22:54:56] [SOK] Beste aapning pa 42.8 grader, avstand 2055.5 cm.
[2025-04-28 22:54:56] [KORRIGERING] Avviker fra mål med 2e+02 grader, korrigerer med omega=90.0.
[2025-04-28 22:54:56] [SOK] Beste aapning pa 42.8 grader, avstand 2055.5 cm.
[2025-04-28 22:54:56] [KORRIGERING] Avviker fra mål med 2e+02 grader, korrigerer med omega=90.0.
[2025-04-28 22:54:56] [SOK] Beste aapning pa 42.8 grader, avstand 2055.5 cm.
[2025-04-28 22:54:56] [KORRIGERING] Avviker fra mål med 2e+02 grader, korrigerer med omega=90.0.
